rank,tier,status,ranking_score,score_std,score_percentile,field,id,source_id,ra,dec,sky_group,sky_group_size,mag_f444w,snr_f444w,r_h_arcsec,z_phot,ood_flag,n_features_outside_positive_range,disagreement_flag,nearest_list,nearest_list_sep_arcsec,n_archive_records,n_eligible_records,n_secure_lowz_records,n_secure_highz_records,archive_best_grade,archive_z_best_grade3,archive_gratings,archive_files,in_census,spec_tested,spec_vshaped,sel_labbe23,sel_kokorev24,sel_kocevski24,sel_perezgonzalez24,sel_barro23,sel_greene24,sel_akins24,m_f090w,m_f115w,m_f150w,m_f200w,m_f277w,m_f356w,m_f444w,asnr_f090w,asnr_f115w,asnr_f150w,asnr_f200w,asnr_f277w,asnr_f356w,asnr_f444w,c_f090w_f115w,c_f115w_f150w,c_f150w_f200w,c_f200w_f277w,c_f277w_f356w,c_f356w_f444w,c_f115w_f200w,c_f200w_f356w,c_f277w_f444w,slope_blue,slope_red,v_curv,log_rh,log_rh_over_rstar,n_snr_ge1,n_snr_ge3,archive_verdict,compactness_f444w,labbe_compactness,flux_d020,flux_d040,flux_d050,compactness_measurable,compactness_reason,compactness_mosaic,compactness_pixscale,compact_akins,compact_labbe,followup_tier,in_degraaff26_v2,zspec_degraaff26_v2,oof_score,oof_t_05,oof_t_burden,oof_above_05,oof_above_burden,sel_barro24b,spectrum_status,z_spec_secure,listed_after_freeze,f_f090w_ujy,f_f115w_ujy,f_f150w_ujy,f_f200w_ujy,f_f277w_ujy,f_f356w_ujy,f_f444w_ujy,e_f090w_ujy,e_f115w_ujy,e_f150w_ujy,e_f200w_ujy,e_f277w_ujy,e_f356w_ujy,e_f444w_ujy,mag_f090w_ab,mag_f115w_ab,mag_f150w_ab,mag_f200w_ab,mag_f277w_ab,mag_f356w_ab,mag_f444w_ab,bd_screen
1,equal_burden,untested,0.9897657,0.00087220076,99.9837,ceers-full,67721,559075,214.79440467191807,52.837397468256505,522768,1,25.201894457553124,72.65121448914378,0.0998710400917814,5.400762557983398,False,0,False,,,0,0,0,0,,,,,False,False,False,False,False,False,False,False,False,False,3.536754,3.2701714,3.087316,2.9972174,2.200414,1.6752665,1.3017588,3.2446492,3.6062443,3.5408456,3.8393145,4.650107,5.119315,4.9788647,0.26658267,0.1828552,0.09009862,0.79680353,0.5251474,0.3735078,0.27295384,1.3219509,0.8986552,-1.4097611,-4.422824,-3.0130627,-1.0005604,0.09798125,7.0,7.0,,0.5236641580135944,1.7290136612960725,14.232160970165094,24.60760074718021,27.178031477563188,True,,ceers-full-grizli-v7.4-f444w-clear_drc_sci.fits,0.0399999999999993,True,False,False,False,,0.9908420754827642,0.754978998987226,0.8887119129899906,True,True,True,no spectrum in the frozen archive index,,False,0.03790238889626251,0.048886581771494665,0.057957556867782326,0.06307524212057498,0.13172651032492183,0.21371776318843713,0.3014686922283287,0.002959537347666062,0.0026568558143710065,0.003363066624437948,0.0027145436505802223,0.0025189933423716026,0.0025562053489225404,0.004149534104118479,27.453333541585828,27.177025820609916,26.992224824962292,26.900352684311823,26.100817033187628,25.575398449689075,25.201894457553124,False
2,equal_burden,untested,0.98819923,0.0013969468,99.96076,primer-uds-south,2558,17468,34.24302589785728,-5.319390777549782,16567,1,26.018424630504235,15.839596024563852,0.081263121391171,17.914907455444336,False,1,False,,,0,0,0,0,,,,,False,False,False,False,False,False,False,False,False,False,5.697741,7.650515,4.749152,6.621253,3.1095645,2.1893995,2.1178143,0.0905181,-1.1793095,1.0386679,-0.38187894,2.9965382,3.8718698,3.456655,-1.952774,2.901363,-1.8721008,3.5116885,0.92016494,0.07158527,1.0292621,4.4318533,0.99175024,-3.934897,-3.9625692,-0.0276723,-1.0901065,0.020591797,4.0,3.0,,0.6583754113695178,1.4222588623833743,8.228001332477056,11.702347814817708,12.497431086257611,True,,primer-uds-south-grizli-v7.2-f444w-clear_drc_sci.fits,0.0399999999999996,True,True,True,False,,0.9741452692500006,0.4857940004330892,0.8001636935446299,True,True,False,no spectrum in the frozen archive index,,False,0.000990945882448878,-0.016625968844447662,0.011385499287476505,-0.002889761088150569,0.056926296909732575,0.1330773475614187,0.14211180245596677,0.010932553322475135,0.011292372571378356,0.009213339919251187,0.007386376510812277,0.005702276068652002,0.0055435849420726315,0.008971933516207202,31.40987515640938,,28.759119798866852,,27.01171766597509,26.089739659704147,26.018424630504235,False
3,equal_burden,secure z>3 (V untested),0.9873022,0.0015841139,99.95047,gdn,44253,509059,189.26132288039057,62.23196382273444,475668,1,25.85667205448021,96.95627278932052,0.1047731674117134,5.5485124588012695,False,0,False,,,1,0,0,1,3.0,5.536202,G395M,gdn-pah123-v4_g395m-f290lp_2674_934.spec.fits,False,False,False,False,False,False,False,False,False,False,2.9689076,3.1588767,3.1903017,3.0137606,2.8232079,1.9786068,1.9562188,4.5365863,4.018301,3.7895582,4.476458,4.245381,5.1813035,5.2674336,-0.18996914,-0.03142491,0.17654106,0.1905527,0.8446011,0.022387946,0.14511615,1.0351537,0.866989,0.12195048,-2.468246,-2.5901964,-0.9797499,0.12759905,7.0,7.0,,0.5264814308209333,1.744844494647554,7.626161371360123,13.30646568411155,14.485147860711407,True,,gdn-grizli-v7.4-f444w-clear_drc_sci.fits,0.0399999999999996,True,False,False,False,,0.9410520908934388,0.493119327886014,0.680939922615875,True,True,True,secure z > 3 from a non-prism spectrum; V-shape test not applicable,5.536202,False,0.06458304009018133,0.05422718218641751,0.05266287485071744,0.062115905194035405,0.07416667789854757,0.1616088016809851,0.1649419703466204,0.0013835150515649401,0.00195101912509358,0.002382167872678878,0.0014131487180501087,0.0021260944431198167,0.001816758272739548,0.0017011995779275494,26.874703788692198,27.06445740568642,27.09623859143968,26.916992953923806,26.724477934081715,25.878837474971206,25.85667205448021,False
4,equal_burden,untested,0.9872666,0.0008251091,99.949615,gdn,71316,543309,189.37383998562217,62.28083730706247,507828,1,26.215408505598333,66.71343802715097,0.0795622308678745,5.176219463348389,False,0,False,,,0,0,0,0,,,,,False,False,False,False,False,False,False,False,False,False,4.108007,4.107151,4.3750095,4.0261583,3.1356382,3.412318,2.3145316,3.04057,3.1166818,2.92031,3.1692228,4.3623366,4.0613937,4.8936095,0.0008558462,-0.26785815,0.34885103,0.89052016,-0.2766798,1.0977865,0.080992855,0.6138403,0.82110673,-0.08238442,-4.564976,-4.4825916,-1.099293,0.008055918,7.0,7.0,,0.640940444052612,1.454353066447227,7.510135942586205,10.922389237535782,11.717369394105097,True,,gdn-grizli-v7.4-f444w-clear_drc_sci.fits,0.0399999999999996,True,True,True,False,,0.9361030871189748,0.493119327886014,0.680939922615875,True,True,True,no spectrum in the frozen archive index,,False,0.0217533076137066,0.022089007687036318,0.01692280668585339,0.024050365107087312,0.055570081834884225,0.043030537108630584,0.11853226894879101,0.0020847128493301633,0.0019611092385835825,0.0018301732018505062,0.0020255535729915594,0.0014171079022130843,0.0014828417872525753,0.0017767375277609118,28.056186746869166,28.039559484169793,28.32881901649722,27.947195815606896,27.037897409133706,27.315558082512723,26.215408505598333,False
5,equal_burden,untested,0.9871089,0.0014009926,99.94811,gdn,27731,500172,189.23478134498785,62.199952732437694,467390,1,26.416280900999944,55.818974924955576,0.0862875550561481,4.085123538970947,False,0,False,,,0,0,0,0,,,,,False,False,False,False,False,False,False,False,False,False,4.099157,4.2495565,4.45287,3.6711533,3.068737,2.4883742,2.5150118,3.3183782,2.9522219,2.525754,3.795906,4.223176,4.812345,4.715341,-0.15039992,-0.20331323,0.7817165,0.6024162,0.58036274,-0.02663755,0.5784033,1.182779,0.5537252,-1.4175572,-2.1602545,-0.7426971,-1.0640519,0.04329713,7.0,7.0,,0.5890785181312099,1.5696534737863148,5.596069989351538,8.783890698336988,9.499701342198806,True,,gdn-grizli-v7.4-f444w-clear_drc_sci.fits,0.0399999999999996,True,True,True,False,,0.9224621318745648,0.493119327886014,0.680939922615875,True,True,True,no spectrum in the frozen archive index,,False,0.021947446232083917,0.01919769683496142,0.01562830111022456,0.03366536434524644,0.05911618099578477,0.10102160642267201,0.09851166051267221,0.0015915873405179313,0.002010626870040719,0.0025165698848078214,0.0015131827964425322,0.0017327169876425721,0.0016424723133484497,0.0017648418059470592,28.046540015643178,28.191877177181922,28.415220574554723,27.58204170248706,26.97073407464324,26.38896432429103,26.416280900999944,False
6,equal_burden,untested,0.98695415,0.0014401925,99.947044,primer-cosmos-west,20773,372736,150.1158055128171,2.186890119591165,346231,1,26.535964417850145,22.599303407182283,0.0700220650782565,5.315845966339111,False,0,False,,,0,0,0,0,,,,,False,False,False,False,False,False,False,False,False,False,5.522867,4.7446017,6.2804475,5.445023,4.0349617,3.3405561,2.634383,0.3779038,1.5873331,-0.4137742,0.94724655,3.0243402,3.3391693,3.8115554,0.7782656,-1.5358455,0.83542424,1.4100612,0.6944057,0.7061732,-0.7004213,2.104467,1.4005789,2.1263409,-7.093984,-9.220325,-1.1547651,-0.04741612,5.0,3.0,,0.6628530095310239,1.4594945848262528,6.09133430469617,8.890269432070449,9.189570262351014,True,,primer-cosmos-west-grizli-v7.4-f444w-clear_drc_sci.fits,0.0399999999999996,True,True,True,False,,0.9825633105367568,0.5091588235604907,0.7510947210633842,True,True,False,no spectrum in the frozen archive index,,False,0.0025449420555068085,0.011448114531085053,-0.0018978457100335064,0.004898881298201334,0.02405788618705668,0.045987752739699704,0.08822958426707239,0.006576705253854966,0.004885864562105574,0.0044583581591053885,0.004472246008520811,0.0023434719030512954,0.0032661489052088558,0.0039040842400050327,30.38580525361288,28.753165085968043,,29.674757708850855,27.946856335011844,27.243394530891692,26.535964417850142,True
7,equal_burden,untested,0.9869377,0.0016192481,99.9464,primer-uds-north,15290,122147,34.45662845935476,-5.183603349576064,116849,1,26.330777464387097,14.666868405847486,0.0878800551017983,5.325993537902832,False,1,False,,,0,0,0,0,,,,,False,False,False,False,False,False,False,False,False,False,3.619426,6.92961,5.505048,4.833194,3.914761,3.258575,2.429693,1.8771578,-0.6590269,0.43705487,1.1929644,2.3332288,2.9958913,3.3798983,-3.3101835,1.4245619,0.671854,0.9184326,0.65618604,0.828882,2.0964158,1.5746187,1.4850681,4.216657,-7.921151,-12.137808,-1.0561097,0.051239286,5.0,4.0,,0.5712760173380823,1.586650993776832,5.523666966298379,8.764131681369582,9.668998520253758,True,,primer-uds-north-grizli-v7.2-f444w-clear_drc_sci.fits,0.0399999999999996,True,True,True,False,,0.972306817189734,0.4857940004330892,0.8001636935446299,True,True,False,no spectrum in the frozen archive index,,False,0.035034594571542656,-0.00731614518081428,0.0038456922832685926,0.01067113364200667,0.026933135461094746,0.0496128253957798,0.10658326358925757,0.010979395709812082,0.01033677931406281,0.008525095781318213,0.007129490756523823,0.005273665694386488,0.00497292219085016,0.007266940742903525,27.538757259744596,,29.93756367298497,28.829473602723834,27.82428271151526,27.161015099167447,26.330777464387097,False
8,equal_burden,untested,0.9868878,0.0013524344,99.945755,primer-cosmos-east,7862,407097,150.15014164441573,2.1842397192022447,378582,1,26.346204816589697,18.53314087784225,0.0867617837707866,0.0292544029653072,False,0,False,,,0,0,0,0,,,,,False,False,False,False,False,False,False,False,False,False,5.015023,7.1335115,6.8210535,4.9383783,3.390428,2.4451673,2.445089,0.6610443,-0.92717594,-0.7850227,1.1060798,3.0101652,3.6679487,3.6134348,-2.118488,0.31245798,1.8826753,1.54795,0.9452608,7.805372e-05,2.1951332,2.4932108,0.9453389,-2.6296864,-3.5366993,-0.9070127,-1.0616715,0.047348876,4.0,3.0,,0.6514302587454152,1.4611401242200148,6.063555572979265,8.859704343117887,9.308065585803496,True,,primer-cosmos-east-grizli-v7.4-f444w-clear_drc_sci.fits,0.0399999999999996,True,True,False,False,,0.9844318075799908,0.5091588235604907,0.7510947210633842,True,True,False,no spectrum in the frozen archive index,,False,0.0075867335109715125,-0.009466508012481117,-0.006312625192026638,0.009493804651865419,0.043891751099343165,0.10512721141334659,0.1050795183279317,0.010681764193125259,0.008881683963416372,0.007271155274251731,0.007054308469170721,0.004336814980229161,0.0053710393391849685,0.005669817060181207,29.199862926371782,,,28.95639927183531,27.294042730639244,26.34571213863877,26.346204816589697,False
9,equal_burden,untested,0.98684096,0.0015982904,99.9449,primer-uds-south,44674,80921,34.368957907033234,-5.24694755601995,77234,1,26.76154336738368,12.61298050655506,0.0905026451500959,5.368458271026611,False,0,False,,,0,0,0,0,,,,,False,False,False,False,False,False,False,False,False,False,3.413089,3.9199076,3.5927248,4.221355,3.6616955,3.230687,2.85915,2.3746183,1.9618806,2.4511693,2.0700486,2.945472,3.3423967,3.2294414,-0.50681865,0.32718286,-0.6286303,0.5596594,0.4310088,0.37153685,-0.30144745,0.99066824,0.8025456,1.7355282,-3.9985929,-5.734121,-1.0433388,0.06735957,7.0,7.0,,0.5271572451201634,1.665035050298199,4.13997964881984,6.893211222806262,7.8534055770705535,True,,primer-uds-south-grizli-v7.2-f444w-clear_drc_sci.fits,0.0399999999999996,True,True,True,False,,0.9061895582943494,0.4857940004330892,0.8001636935446299,True,True,False,no spectrum in the frozen archive index,,False,0.0426080667708335,0.026478624880885697,0.03613359877002183,0.019922809834583638,0.03411427177942697,0.05090942264536387,0.0716774675930592,0.00799861592634191,0.007595599078428286,0.0062755304969499505,0.0051090493136934445,0.0035972123773785813,0.0036040166889122305,0.005682833455249366,27.32627042581112,27.842761432347313,27.505221955467654,28.15162352602605,27.567659737389324,27.1330045704765,26.76154336738368,False
10,equal_burden,untested,0.98629,0.0014985071,99.940186,primer-uds-south,18934,122018,34.45631206088567,-5.288797896698068,116724,1,26.426777772671908,14.3482106431663,0.0939135658621222,6.518673896789551,False,0,False,,,0,0,0,0,,,,,False,False,False,False,False,False,False,False,False,False,4.9558864,3.7322044,3.6785095,3.8259501,3.5107796,2.1300843,2.525484,0.9206172,2.1100912,2.339304,2.3967328,2.930884,4.234373,3.3579845,1.223682,0.053695157,-0.1474407,0.31517056,1.3806952,-0.39539975,-0.093745545,1.6958659,0.98529553,-0.5153125,-2.458116,-1.9428036,-1.0272716,0.08342663,7.0,6.0,,0.5030974368348217,1.7750343802860755,4.274770356199089,7.587864350081137,8.49690346882565,True,,primer-uds-south-grizli-v7.2-f444w-clear_drc_sci.fits,0.0399999999999996,True,False,False,False,,0.9659651641639524,0.4857940004330892,0.8001636935446299,True,True,True,no spectrum in the frozen archive index,,False,0.008259460916275474,0.031671516351858275,0.03332236435730106,0.029094967025062597,0.03925389380777601,0.1405543637487835,0.09756384126347101,0.007819361500739521,0.007793412534675662,0.006484452315334016,0.005340384590285023,0.004200334629557236,0.004073808952194702,0.006799721839178482,29.10762074390457,27.648327858030612,27.59316047802961,27.740455326700697,27.415293141860182,26.03038916609479,26.426777772671908,False
